Country,Year,GDP growth (annual %),Labor force,Gross capital formation (% of GDP),Industry (% of GDP),Industry (% of employment),Manufacturing (% of GDP),Manufacturing (% of employment),Services (% of GDP),Services (% of employment),Agriculture (% of GDP),Agriculture (% of employment),Trade (% of GDP),Broad money (% of GDP),Political stability
Rwanda,1998,8.8586694907101,2514746.0,14.807661121811519,18.702719643049466,2.428717,11.234508109183906,1.2462786365520284,35.779819179672,8.195532648220201,45.517461177278534,89.37575002912077,28.794463591001122,14.72460913715855,-2.03788757324219
Rwanda,1999,4.351888325639578,2615028.0,11.97521660481924,18.37069861908788,2.48017,10.245709898781238,1.2477758635298104,41.856477875835914,8.131551561946681,31.546907559268718,89.38827828482417,27.334480044313576,13.703239250278695,
Rwanda,2000,8.37092003930509,2711971.0,12.29277501925727,16.819505103641948,2.549833,9.634341326909695,1.247972385078094,44.33154012272556,8.3547783880744,31.186111445331054,89.09538855256977,27.485862496263287,14.156978078341432,-1.69159471988678
Rwanda,2001,8.484543671141637,2797990.0,12.785981989634571,16.438676944092105,2.638423,9.068775719869372,1.2566683009347797,43.428168027870726,8.6716322442181,31.794895341295852,88.6899041193297,29.199749760378346,13.664186462954778,
Rwanda,2002,13.19206613366886,2884196.0,12.61781247592388,16.391984899458127,2.763506,9.766664954587089,1.2794927827620424,44.39572151313593,9.522205705643083,30.195733497692974,87.71428818746327,27.610493335730247,14.634985704135527,-1.6515132188797
Rwanda,2003,2.2023989663842087,2974186.0,13.170599318375164,14.288547554553475,2.989145,8.896178342840939,1.374042708840159,43.68009561536736,9.629077266300943,33.036188050514696,87.38177786220358,29.31134667007653,13.983428235412829,-1.11252212524414
Rwanda,2004,7.4476854020241205,3066374.0,14.358876823871391,14.587254706923552,3.259137,8.85048098539154,1.4781298921781074,42.454165928847246,10.190137331899807,33.895679256598655,86.55068828906771,33.46209648564768,13.781535372994133,-1.18624520301819
Rwanda,2005,9.377898318379124,3156917.0,15.148965396716571,14.951595488233881,3.573495,8.71647843199079,1.5894984651221158,42.53565948741262,10.947345256369735,33.77622407534031,85.47915985707314,34.217159449832906,13.76268956017063,-1.00021243095398
Rwanda,2006,9.227069964356119,3247094.0,15.02397736523618,15.83521656067996,3.934291,8.996576066095956,1.7157181469502927,45.20226107400469,11.842688490939878,30.026333333151335,84.22302063713789,33.222150575560505,15.53569441540055,-0.684061944484711
Rwanda,2007,7.633280266873825,3338604.0,16.788773945895493,16.73545728580919,4.331077,8.137865114689212,1.8482089694854413,48.19327491408472,12.647881030728787,26.068837332981182,83.02104228349292,35.97199146035096,17.051028625252155,-0.360214412212372
Rwanda,2008,11.16126132275835,3433301.0,21.34285166574936,16.267317759955716,4.763502,7.937847233377192,1.9888514347441477,49.30644231437963,13.69230052418546,24.78036722141632,81.5441975613794,37.604873879506556,15.69967854890737,-0.327669590711594
Rwanda,2009,6.2482620415033665,3532102.0,21.013330968234907,15.692293665836402,5.218174,7.980966746385369,2.146432624927316,49.50670951960385,14.242917788065776,25.357369679768983,80.53890800879056,36.8059449147076,14.334852460064154,-0.506896436214447
Rwanda,2010,7.334648332862969,3635144.0,20.530740882397247,16.332698492341308,5.722649,8.256059502203277,2.320457859388709,49.87559841836674,14.975630165515044,24.314391328232578,79.3016894961486,37.27928729065507,15.554447405542437,-0.272093862295151
